transport_infrastructure,country,nuts_2,year,value,unit
motorways,IT,ITH5,2008,568,KM
motorways,IT,ITI1,2008,436,KM
motorways,IT,ITI2,2008,59,KM
motorways,IT,ITI3,2008,168,KM
motorways,IT,ITI4,2008,470,KM
motorways,LI,LI00,2008,: z,KM
motorways,LT,LT01,2008,,KM
motorways,LT,LT02,2008,,KM
motorways,LU,LU00,2008,147,KM
motorways,LV,LV00,2008,0,KM
motorways,MT,MT00,2008,: z,KM
motorways,NL,NL11,2008,93,KM
motorways,NL,NL12,2008,186,KM
motorways,NL,NL13,2008,110,KM
motorways,NL,NL21,2008,133,KM
motorways,NL,NL22,2008,391,KM
motorways,NL,NL23,2008,99,KM
motorways,NL,NL31,2008,177,KM
motorways,NL,NL32,2008,283,KM
motorways,NL,NL33,2008,353,KM
motorways,NL,NL34,2008,84,KM
motorways,NL,NL41,2008,491,KM
motorways,NL,NL42,2008,183,KM
motorways,NO,NO01,2008,112,KM
motorways,NO,NO02,2008,0,KM
motorways,NO,NO03,2008,110,KM
motorways,NO,NO04,2008,25,KM
motorways,NO,NO05,2008,11,KM
motorways,NO,NO06,2008,0,KM
motorways,NO,NO07,2008,0,KM
motorways,PL,PL21,2008,59,KM
motorways,PL,PL22,2008,83,KM
motorways,PL,PL41,2008,195,KM
motorways,PL,PL42,2008,22,KM
motorways,PL,PL43,2008,0,KM
motorways,PL,PL51,2008,150,KM
motorways,PL,PL52,2008,88,KM
motorways,PL,PL61,2008,25,KM
motorways,PL,PL62,2008,0,KM
motorways,PL,PL63,2008,66,KM
motorways,PL,PL71,2008,77,KM
motorways,PL,PL72,2008,0,KM
motorways,PL,PL81,2008,0,KM
motorways,PL,PL82,2008,0,KM
motorways,PL,PL84,2008,0,KM
motorways,PT,PT20,2008,0,KM
motorways,PT,PT30,2008,0,KM
motorways,RO,RO11,2008,0,KM
motorways,RO,RO12,2008,0,KM
motorways,RO,RO21,2008,0,KM
motorways,RO,RO22,2008,1,KM
motorways,RO,RO31,2008,229,KM
motorways,RO,RO32,2008,51,KM
motorways,RO,RO41,2008,0,KM
motorways,RO,RO42,2008,0,KM
motorways,SE,SE11,2008,262,KM
motorways,SE,SE12,2008,553,KM
motorways,SE,SE21,2008,190,KM
motorways,SE,SE22,2008,309,KM
motorways,SE,SE23,2008,428,KM
motorways,SE,SE31,2008,92,KM
motorways,SE,SE32,2008,16,KM
motorways,SE,SE33,2008,6,KM
motorways,SI,SI03,2008,,KM
motorways,SI,SI04,2008,,KM
motorways,SK,SK01,2008,110,KM
motorways,SK,SK02,2008,147,KM
motorways,SK,SK03,2008,69,KM
motorways,SK,SK04,2008,66,KM
motorways,TR,TR10,2008,194,KM
motorways,TR,TR21,2008,183,KM
motorways,TR,TR22,2008,0,KM
motorways,TR,TR31,2008,210,KM
motorways,TR,TR32,2008,51,KM
motorways,TR,TR33,2008,0,KM
motorways,TR,TR41,2008,65,KM
motorways,TR,TR42,2008,329,KM
motorways,TR,TR51,2008,199,KM
motorways,TR,TR52,2008,0,KM
motorways,TR,TR61,2008,0,KM
motorways,TR,TR62,2008,311,KM
motorways,TR,TR63,2008,203,KM
motorways,TR,TR71,2008,0,KM
motorways,TR,TR72,2008,0,KM
motorways,TR,TR81,2008,0,KM
motorways,TR,TR82,2008,0,KM
motorways,TR,TR83,2008,0,KM
motorways,TR,TR90,2008,0,KM
motorways,TR,TRA1,2008,0,KM
motorways,TR,TRA2,2008,0,KM
motorways,TR,TRB1,2008,0,KM
motorways,TR,TRB2,2008,0,KM
motorways,TR,TRC1,2008,156,KM
motorways,TR,TRC2,2008,109,KM
motorways,TR,TRC3,2008,0,KM
motorways,UK,UKN0,2008,114,KM
motorways,AT,AT11,2009,80,KM
motorways,AT,AT12,2009,328,KM
motorways,AT,AT13,2009,43,KM
motorways,AT,AT21,2009,243,KM
motorways,AT,AT22,2009,308,KM
motorways,AT,AT31,2009,299,KM
motorways,AT,AT32,2009,144,KM
motorways,AT,AT33,2009,189,KM
motorways,AT,AT34,2009,63,KM
motorways,BE,BE10,2009,11,KM
motorways,BE,BE21,2009,220,KM
motorways,BE,BE22,2009,106,KM
motorways,BE,BE23,2009,196,KM
motorways,BE,BE24,2009,175,KM
motorways,BE,BE25,2009,187,KM
motorways,BE,BE31,2009,63,KM
motorways,BE,BE32,2009,284,KM
motorways,BE,BE33,2009,266,KM
motorways,BE,BE34,2009,154,KM
motorways,BE,BE35,2009,103,KM
motorways,BG,BG31,2009,7,KM
motorways,BG,BG32,2009,0,KM
motorways,BG,BG33,2009,84,KM
motorways,BG,BG34,2009,87,KM
motorways,BG,BG41,2009,118,KM
motorways,BG,BG42,2009,122,KM
motorways,CH,CH01,2009,280,KM
motorways,CH,CH02,2009,319,KM
motorways,CH,CH03,2009,139,KM
motorways,CH,CH04,2009,135,KM
motorways,CH,CH05,2009,243,KM
motorways,CH,CH06,2009,181,KM
motorways,CH,CH07,2009,109,KM
motorways,CY,CY00,2009,257,KM
motorways,CZ,CZ01,2009,11,KM
motorways,CZ,CZ02,2009,194,KM
motorways,CZ,CZ03,2009,124,KM
motorways,CZ,CZ04,2009,53,KM
motorways,CZ,CZ05,2009,26,KM
motorways,CZ,CZ06,2009,227,KM
motorways,CZ,CZ07,2009,41,KM
motorways,CZ,CZ08,2009,54,KM
motorways,DE,DE11,2009,399,KM
motorways,DE,DE12,2009,267,KM
motorways,DE,DE13,2009,280,KM
motorways,DE,DE14,2009,113,KM
motorways,DE,DE21,2009,597,KM
motorways,DE,DE22,2009,239,KM
motorways,DE,DE23,2009,336,KM
motorways,DE,DE24,2009,349,KM
motorways,DE,DE25,2009,356,KM
motorways,DE,DE26,2009,353,KM
motorways,DE,DE27,2009,272,KM
motorways,DE,DE30,2009,77,KM
motorways,DE,DE40,2009,795,KM
motorways,DE,DE50,2009,75,KM
motorways,DE,DE60,2009,81,KM
motorways,DE,DE71,2009,480,KM
motorways,DE,DE72,2009,199,KM
motorways,DE,DE73,2009,293,KM
motorways,DE,DE80,2009,552,KM
motorways,DE,DE91,2009,286,KM
motorways,DE,DE92,2009,226,KM
motorways,DE,DE93,2009,372,KM
motorways,DE,DE94,2009,547,KM
motorways,DE,DEA1,2009,649,KM
motorways,DE,DEA2,2009,558,KM
motorways,DE,DEA3,2009,356,KM
motorways,DE,DEA4,2009,190,KM
motorways,DE,DEA5,2009,448,KM
motorways,DE,DEB1,2009,257,KM
motorways,DE,DEB2,2009,184,KM
motorways,DE,DEB3,2009,431,KM
motorways,DE,DEC0,2009,240,KM
motorways,DE,DED2,2009,216,KM
motorways,DE,DED4,2009,203,KM
motorways,DE,DED5,2009,111,KM
motorways,DE,DEE0,2009,407,KM
motorways,DE,DEF0,2009,533,KM
